Incident ID,Incident Date,State,City Or County,Address,killed,injured,Operations,lat,lon,killed_injured
1208397,11-Sep-18,Illinois,Chicago,10600 block of S Bensley Avenue,0,4,N/A,41.7,-87.56,4
1206828,10-Sep-18,Tennessee,Memphis,140 Lt George W Lee Ave,0,5,N/A,35.14,-90.05,5
1206409,9-Sep-18,Illinois,Elgin,550 S McLean Blvd,1,3,N/A,42.02,-88.31,4
1206375,9-Sep-18,Alabama,Auburn,224 W Magnolia St,1,4,N/A,32.61,-85.48,5
1206476,9-Sep-18,Florida,Jacksonville,N/A,0,4,N/A,30.25,-81.6,4
1206050,7-Sep-18,Minnesota,Minneapolis,2024 N Washington Ave,1,3,N/A,45,-93.28,4
1204538,6-Sep-18,Ohio,Cincinnati,511 Walnut St,4,2,N/A,39.1,-84.51,6
1204486,4-Sep-18,Georgia,Albany,1200 block of Gillespie Ave,0,4,N/A,31.57,-84.18,4
1202134,2-Sep-18,Texas,San Antonio,600 block of Morningview St,0,4,N/A,29.41,-98.42,4
1202274,2-Sep-18,New Jersey,Paterson,43 12th Ave,2,2,N/A,40.92,-74.16,4
1202318,2-Sep-18,Alabama,Birmingham,500 23rd St S,0,7,N/A,33.51,-86.8,7
1201885,2-Sep-18,Arkansas,Fort Smith,801 Garrison Ave,0,4,N/A,35.39,-94.42,4
1202332,2-Sep-18,California,San Bernardino,1277 East Lynwood Drive,0,8,N/A,34.15,-117.26,8
1202437,2-Sep-18,New Jersey,Trenton,Stuyvesant Ave and Bryn Mawr Ave,0,4,N/A,40.24,-74.78,4
1201973,1-Sep-18,Florida,Fort Lauderdale (Lauderhill),5225 NW 24th Ct,1,3,N/A,26.16,-80.19,4
1201135,1-Sep-18,Ohio,Cleveland,3232 Lakeside Ave East,1,7,N/A,41.52,-81.67,8
1200904,31-Aug-18,Colorado,Aurora,1900 block of Peoria St,2,3,N/A,39.75,-104.85,5
1197278,27-Aug-18,Arkansas,Pine Bluff,2600 block of W 34th Ave,1,3,N/A,34.19,-92.03,4
1196028,26-Aug-18,Florida,Jacksonville,2 Independent Dr,3,9,N/A,30.32,-81.66,12
1195537,25-Aug-18,Virginia,Richmond,4 N 18th St,0,5,N/A,37.53,-77.43,5
1196051,25-Aug-18,Tennessee,Nashville,1564 9th Ave N,1,4,N/A,36.18,-86.8,5
1194315,23-Aug-18,Pennsylvania,Philadelphia,5800 block of Oakland St,0,4,N/A,40.03,-75.08,4
1194598,23-Aug-18,Maryland,Baltimore,1700 block of Homestead St,0,4,N/A,39.32,-76.59,4
1194057,22-Aug-18,Missouri,Saint Louis,I-64 and Jefferson Ave,0,4,N/A,38.63,-90.22,4
1192788,21-Aug-18,Tennessee,Memphis,2119 E Alcy Rd,0,4,N/A,35.08,-89.99,4
1191368,20-Aug-18,Tennessee,Jackson,60 Heritage Square,1,4,N/A,35.66,-88.86,5
1192036,20-Aug-18,Ohio,Cleveland,E 94th St and Kinsman Rd,1,3,N/A,41.47,-81.62,4
1191279,19-Aug-18,Illinois,Chicago,7400 block of S Dante Ave,0,5,N/A,41.76,-87.59,5
1190035,18-Aug-18,New York,Bronx,925 Allerton Ave,0,4,N/A,40.87,-73.86,4
